ID,TITLE,LOCATION,SKILLS,DATE
52384440,헬스케어 플랫폼 개발자 채용,서울 서대문구,"Java,Javascript,인프라,클라우드,ETL",내일마감
52386495,(주)디젠트아이디 안드로이드 앱 개발자 모집,서울 강남구,"앱개발,솔루션업체,소프트웨어개발",내일마감
52538787,[인바디헬스케어] 안드로이드 개발자 (경력),서울 서초구,"Android,앱개발,Git,RestAPI,의료기기",~ 01/31(토)
52591739,[경력직] 헬스케어어플 AOS 프론트엔드 개발자 모집,서울 금천구,"Android,앱개발,유지보수,퍼블리셔,프론트엔드",~ 12/31(수)
52447926,[팀원 모집] 반려견 보호자 산책 동행매칭 스타트업 android,서울 강남구,"백엔드/서버개발,프론트엔드,UI/UX디자인,앱기획,종합포털",~ 12/31(수)
52549195,백엔드 프로그래머(Senior),서울 강남구,"백엔드/서버개발,CRM,솔루션업체,소프트웨어개발",~ 01/11(일)
52419569,모바일 앱 개발자(신입),경기 고양시 덕양구,"앱개발,쇼핑몰",~ 12/26(금)
52569499,주식회사블라인드데이트 프론트 엔드 개발자 채용,서울 서초구,"프론트엔드,결혼정보회사,커플매니저,웨딩컨설팅",~ 01/14(수)
52628295,앱(flutter) 개발 경력자 모집,충남 천안시 동남구,"Android,앱개발,iOS,웹개발,Flutter",~ 01/21(수)
52533710,[오늘의집페이] Backend Engineer,서울 서초구,"백엔드/서버개발,오픈마켓",~ 01/09(금)
52371478,시스템 백엔드 개발자(주니어),경기 용인시 기흥구,"Java,백엔드/서버개발,Javascript,운송·운수",오늘마감
52227404,아이티포원 Hybrid 앱(AOS/IOS) PHP 개발자 채용,부산 해운대구,"Java,앱개발,Javascript,iOS,MySQL",~ 01/04(일)
52588770,[서울 강남] 전자상거래 백엔드 엔지니어,서울 강남구,"Java,백엔드/서버개발,API,Node.js,NoSQL",~ 01/01(목)
52401290,"[악보바다] JAVA, 프론트, 백엔드, 모바일 개발자 모집",서울 구로구,"서비스기획,웹기획,개발PM,소프트웨어개발",~ 01/24(토)
52625461,[Smartdoctor] EMR 영업 담당자 채용,서울 강남구,"영업관리,영업직,네트워크영업,솔루션기술영업,B2B",~ 01/21(수)
52266318,[라온시큐어] AOS개발자 경력직 채용,서울 영등포구,"Kotlin,Java,Android,정보보안,클라우드",~ 01/09(금)
52278597,[NHN comico] Android 엔지니어 도쿄 현지 채용,일본,"Kotlin,Android,Git,소프트웨어개발",~ 01/10(토)
52330020,"IVI 미들웨어 개발자(9년 이상, C/C++, OTA)",경기 성남시 분당구,"Kotlin,Java,iOS,SE(시스템엔지니어),SI개발",채용시
52540882,IoT  블루투스 펌웨어 개발자 경력직 채용,서울 영등포구,"Kotlin,클라우드,Azure,MySQL,Node.js",~ 02/09(월)
52360064,[SMM] 스마트사업부 안드로이드(Android)개발자 모집,경기 안양시 동안구,"Kotlin,Java,Android,Javascript,MCU",~ 12/31(수)
52446221,[공고] 물류시스템 유지보수 경력(2년~3년)사원 모집,서울 성동구,"Kotlin,Java,Android,Javascript,iOS",~ 12/31(수)
52496104,[이브릿지] 플랫폼개발팀 PHP 개발자 경력 채용,서울 중구,"Kotlin,Android,Javascript,iOS,Apache",~ 01/04(일)
